timestamp,run_id,from_cloud,from_region,to_cloud,to_region,bitrate_Bps,avgrtt
2022-02-03T18:05:42Z,womomo,GCP,europe-west2,GCP,europe-west4,543162368.0,12.43
2022-02-03T18:05:40Z,womomo,GCP,europe-west3,GCP,europe-west2,479199232.0,13.007
2022-02-03T18:05:59Z,womomo,GCP,europe-north1,GCP,europe-west4,979894272.0,32.614
2022-02-03T18:05:40Z,womomo,GCP,europe-west3,GCP,europe-west1,125435904.0,11.144
2022-02-03T18:05:40Z,womomo,GCP,europe-west1,GCP,europe-west3,428736512.0,10.148
2022-02-03T18:05:42Z,womomo,GCP,europe-central2,GCP,europe-west4,384827392.0,23.395
2022-02-03T18:05:40Z,womomo,GCP,europe-west1,GCP,europe-west2,304742400.0,10.989
2022-02-03T18:05:40Z,womomo,GCP,europe-west3,GCP,europe-central2,494010368.0,16.43
2022-02-03T18:05:40Z,womomo,GCP,europe-west1,GCP,europe-north1,31326208.0,37.516
2022-02-03T18:05:42Z,womomo,GCP,europe-west4,GCP,europe-north1,223346688.0,34.702
2022-02-03T18:05:42Z,womomo,GCP,europe-west4,GCP,europe-west2,109051904.0,12.833
2022-02-03T18:05:42Z,womomo,GCP,europe-central2,GCP,europe-west2,102367232.0,28.173
2022-02-03T18:05:43Z,womomo,GCP,europe-north1,GCP,europe-west1,575930368.0,35.203
2022-02-03T18:05:42Z,womomo,GCP,europe-west2,GCP,europe-west1,528482304.0,6.983
2022-02-03T18:05:42Z,womomo,GCP,europe-west2,GCP,europe-central2,100925440.0,28.041
2022-02-03T18:05:42Z,womomo,GCP,europe-west4,GCP,europe-west3,566755328.0,9.438
2022-02-03T18:05:42Z,womomo,GCP,europe-central2,GCP,europe-west3,268828672.0,15.863
2022-02-03T18:05:43Z,womomo,GCP,europe-north1,GCP,europe-central2,72744960.0,21.498
2022-02-03T18:05:47Z,womomo,GCP,europe-west1,GCP,europe-west4,899284992.0,10.119
2022-02-03T18:05:40Z,womomo,GCP,europe-west3,GCP,europe-north1,58064896.0,33.342
2022-02-03T18:18:11Z,womomo,GCP,southamerica-east1,GCP,northamerica-northeast1,195952640.0,127.706
2022-02-03T18:18:09Z,womomo,GCP,us-east1,GCP,northamerica-northeast2,442630144.0,45.069
2022-02-03T18:18:17Z,womomo,GCP,us-central1,GCP,southamerica-east1,129499136.0,137.016
2022-02-03T18:18:16Z,womomo,GCP,northamerica-northeast2,GCP,us-central1,65011712.0,23.469
2022-02-03T18:18:13Z,womomo,GCP,europe-west6,GCP,northamerica-northeast1,228196352.0,94.755
2022-02-03T18:18:16Z,womomo,GCP,us-east1,GCP,europe-west6,129892352.0,103.584
2022-02-03T18:18:16Z,womomo,GCP,northamerica-northeast1,GCP,europe-west6,39583744.0,94.839
2022-02-03T18:18:13Z,womomo,GCP,europe-west6,GCP,us-central1,198311936.0,109.837
2022-02-03T18:18:17Z,womomo,GCP,us-central1,GCP,northamerica-northeast1,268304384.0,29.265
2022-02-03T18:18:16Z,womomo,GCP,northamerica-northeast1,GCP,us-central1,247070720.0,29.302
2022-02-03T18:18:12Z,womomo,GCP,southamerica-east1,GCP,us-east1,177209344.0,116.776
2022-02-03T18:18:09Z,womomo,GCP,northamerica-northeast1,GCP,northamerica-northeast2,618659840.0,9.716
