timestamp,run_id,from_cloud,from_region,to_cloud,to_region,bitrate_Bps,avgrtt,gcp_vm,aws_vm
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,australia-southeast2,GCP,europe-west2,87949312,287.011,e2-small,
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,europe-west2,GCP,asia-south2,174194688,165.259,e2-small,
2022-02-17T12:30:21.798332Z,ekoqaf,AWS,eu-west-2,GCP,europe-west1,1992294400,10.977,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,europe-west4,GCP,northamerica-northeast1,328859648,88.092,e2-small,
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,europe-west4,AWS,ap-south-1,60293120,142.295,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,asia-southeast1,AWS,ap-southeast-2,93716480,94.501,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,asia-south1,AWS,ca-central-1,38666240,222.343,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,australia-southeast1,AWS,eu-west-3,1179648,268.433,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,australia-southeast2,AWS,ap-northeast-3,58982400,146.449,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,AWS,eu-north-1,GCP,europe-west1,967573504,30.986,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,northamerica-northeast1,AWS,sa-east-1,68157440,127.751,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,AWS,ap-southeast-1,GCP,europe-west6,140902400,195.479,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,asia-southeast2,GCP,northamerica-northeast2,123338752,219.443,e2-small,
2022-02-17T12:30:21.798332Z,ekoqaf,AWS,ap-south-1,GCP,asia-south2,487981056,22.357,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,asia-southeast1,AWS,eu-west-3,43253760,203.414,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,australia-southeast2,AWS,ap-south-1,59506688,146.694,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,northamerica-northeast2,AWS,ap-southeast-2,42598400,202.025,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,asia-south2,AWS,sa-east-1,20578304,375.867,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,europe-north1,GCP,australia-southeast1,85852160,294.610,e2-small,
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,asia-northeast3,GCP,asia-south2,197525504,152.886,e2-small,
2022-02-17T12:30:21.798332Z,ekoqaf,AWS,ap-south-1,AWS,eu-central-1,61472768,133.507,,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,AWS,eu-west-3,GCP,australia-southeast2,87949312,281.181,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,AWS,eu-west-2,AWS,ca-central-1,111280128,75.796,,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,AWS,eu-north-1,GCP,australia-southeast1,83099648,290.276,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,AWS,sa-east-1,AWS,ap-northeast-1,32505856,255.289,,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,AWS,ap-south-1,GCP,europe-west4,187432960,142.705,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,us-central1,GCP,asia-south2,96993280,256.486,e2-small,
2022-02-17T12:30:21.798332Z,ekoqaf,AWS,eu-west-2,AWS,eu-north-1,266207232,31.525,,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,AWS,ca-central-1,GCP,northamerica-northeast1,4638638080,2.800,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,AWS,ap-northeast-2,GCP,northamerica-northeast1,147324928,187.643,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,AWS,ap-northeast-3,GCP,asia-northeast3,1017774080,27.920,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,AWS,ca-central-1,GCP,europe-north1,245104640,116.782,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,AWS,ap-northeast-2,GCP,europe-west4,95944704,255.561,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,AWS,eu-north-1,AWS,ca-central-1,79298560,106.496,,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,australia-southeast2,AWS,ap-southeast-1,102629376,87.158,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,AWS,eu-west-1,AWS,eu-west-2,719323136,12.538,,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,AWS,ap-northeast-3,GCP,europe-west3,109051904,234.218,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,asia-south1,GCP,europe-west1,207093760,138.315,e2-small,
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,asia-southeast1,GCP,europe-west3,142213120,192.161,e2-small,
2022-02-17T12:30:21.798332Z,ekoqaf,AWS,ap-northeast-2,AWS,eu-central-1,34471936,235.662,,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,AWS,ap-south-1,GCP,asia-southeast1,463601664,55.583,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,europe-west4,GCP,asia-northeast3,101187584,253.047,e2-small,
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,australia-southeast1,AWS,ap-south-1,58720256,152.153,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,europe-west1,GCP,australia-southeast2,92405760,280.143,e2-small,
2022-02-17T12:30:21.798332Z,ekoqaf,AWS,ca-central-1,AWS,eu-north-1,77725696,106.525,,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,asia-south1,GCP,asia-south2,1195114496,22.365,e2-small,
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,europe-west4,GCP,europe-west1,1194196992,10.369,e2-small,
2022-02-17T12:30:21.798332Z,ekoqaf,AWS,ap-southeast-2,GCP,australia-southeast1,4634050560,3.024,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,asia-southeast1,GCP,europe-west2,132251648,203.667,e2-small,
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,northamerica-northeast2,AWS,ap-northeast-1,63438848,146.696,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,AWS,ca-central-1,GCP,asia-south2,87687168,270.089,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,AWS,sa-east-1,GCP,asia-northeast3,85721088,293.086,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,AWS,eu-west-1,AWS,eu-west-3,494534656,16.585,,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,AWS,ap-northeast-3,GCP,europe-west2,116654080,224.721,e2-small,t3.nano
